Q1: What gender do you identify with?,Q2: What is your age?,Q2: Age range,"Q3: What is your race? (white, black, latino, asian, other)",Q3OTH1,"Q4: What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q4OTH,"Q5: In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Q6: Would you say you are liberal, conservative, or moderate?","Q7: Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Q8: How often do you worry about your financial situation? (very often, somewhat often, or not very often)","Q9: I'd like you to think about vote counting throughout the country. Going into the 2018 midterm elections, are you confident that votes nationwide will be counted fairly? (if [yes] probe: and would you say you are very confident or somewhat confident?)","Q10: Would you support a voting system in which people could choose their first choice candidate, their second choice candidate, their third choice candidate, and so on?","Q11: If you had to guess, do you think America will elect a woman president in the next 25 years?","Q12: Do you think Americans will have universal, guaranteed healthcare in the next 25 years?","Q13: If you had to guess, do you think humanity will survive the next hundred years?",Q14: If Q13 = Yes... And do you think humanity will survive the next thousand years?,Q15: What about America? Do you think America will survive the next hundred years?,Q16: If Q15 = Yes... And do you think America will survive the next thousand years?,"Q17: How likely is it that Donald Trump will be re-elected in 2020? (Very likely, somewhat likely, not at all likely)","Q18: How likely is it that Donald Trump will use a nuclear weapon during his time in office? (very likely, somewhat likely, not at all likely)","Q19: If you had to guess, do you think America will go to war with Russia in the next 50 years?","Q20: And if you had to guess, do you think America will go to war with China in the next 50 years?","Q21: Do you think your generation will leave behind a better world for the next generation, or a worse world?"
Male,25,25-34,White,,High school or less,,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
Male,62,55-64,Asian,,Graduate degree,,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,No,,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,27,25-34,White,,Graduate degree,,Democrat,Moderate,Neither approve nor disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,No,,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,69,65+,Latino,,College degree,,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,,No,,Not at all likely,Not at all likely,No,No,Worse World
Male,28,25-34,Latino,,Some college,,Independent,DK/REF,Neither approve nor disapprove,Not Very Often,No,Yes,Yes,No,No,,No,,Very Likely,Somewhat Likely,DK/REF,DK/REF,Better World
Male,75,65+,White,,High school or less,,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,,Yes,No,Very Likely,Not at all likely,No,No,Better World
Female,66,65+,White,,College degree,,Republican,Moderate,Strongly Approve,Not Very Often,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Female,30,25-34,Latino,,Some college,,Independent,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",No,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World
Male,51,45-54,White,,College degree,,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,40,35-44,White,,College degree,,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,No,,No,,Not at all likely,Somewhat Likely,No,No,Worse World
Female,44,35-44,White,,Some college,,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Male,20,18-24,Latino,,Some college,,Democrat,Moderate,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Better World
Female,34,25-34,Latino,,Some college,,Independent,Conservative,Strongly Disapprove,Not Very Often,No,Yes,Yes,No,No,,No,,Somewhat Likely,Very Likely,No,Yes,Worse World
Male,44,35-44,White,,Some college,,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,No,Yes,Yes,No,,Not at all likely,Not at all likely,Yes,Yes,Worse World
Female,47,45-54,Black,,Some college,,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,,Yes,No,Not at all likely,Not at all likely,Yes,Yes,Worse World
Male,52,45-54,White,,Some college,,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,No,Yes,No,Very Likely,Not at all likely,No,No,Better World
Female,68,65+,White,,College degree,,Republican,Conservative,Strongly Approve,Somewhat Often,No,No,No,No,No,,No,,Very Likely,Not at all likely,No,No,Better World
Male,47,45-54,White,,Graduate degree,,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,30,25-34,White,,High school or less,,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,No,Somewhat Likely,Not at all likely,No,Yes,Worse World
Female,72,65+,White,,High school or less,,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,DK/REF,,Yes,No,Very Likely,Not at all likely,Yes,No,Worse World
Female,53,45-54,Black,,Some college,,Democrat,Moderate,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,DK/REF,Yes,DK/REF,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF
Female,55,55-64,Black,,Some college,,Democrat,Conservative,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",No,No,Yes,No,,Yes,No,Not at all likely,Somewhat Likely,Yes,Yes,Better World
Male,56,55-64,White,,High school or less,,Independent,Moderate,DK/REF,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Yes,DK/REF,Somewhat Likely,Not at all likely,No,No,Better World
Male,59,55-64,Black,,High school or less,,Independent,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,60,55-64,Black,,High school or less,,Independent,Moderate,DK/REF,Very Often,DK/REF,Yes,Yes,Yes,No,,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
Male,74,65+,White,,High school or less,,Democrat,Moderate,DK/REF,Very Often,"Yes, somewhat confident",DK/REF,No,DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,DK/REF
Female,70,65+,White,,High school or less,,Republican,Conservative,Strongly Approve,Somewhat Often,DK/REF,Yes,Yes,Yes,No,,No,,Very Likely,Somewhat Likely,Yes,Yes,Better World
Female,80,65+,White,,Some college,,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,No,Yes,Yes,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
Female,80,65+,Black,,High school or less,,Democrat,Conservative,DK/REF,Somewhat Often,No,No,No,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,Yes,No,Worse World
Male,53,45-54,White,,College degree,,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Better World
Male,38,35-44,White,,Some college,,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,Yes,Yes,Yes,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Male,55,55-64,White,,College degree,,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,62,55-64,White,,Graduate degree,,DK/REF,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,63,55-64,White,,High school or less,,DK/REF,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,64,55-64,White,,College degree,,Republican,Conservative,Strongly Approve,Very Often,No,Yes,Yes,No,Yes,Yes,No,,Very Likely,Somewhat Likely,Yes,Yes,Worse World
Female,60,55-64,White,,High school or less,,Democrat,DK/REF,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
Female,65,65+,Latino,,High school or less,,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,No,,No,,Not at all likely,Somewhat Likely,Yes,DK/REF,Better World
Male,62,55-64,White,,Some college,,Democrat,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,No,,No,,Not at all likely,Very Likely,Yes,Yes,Worse World
Female,70,65+,Black,,High school or less,,Democrat,Liberal,DK/REF,Not Very Often,No,DK/REF,DK/REF,DK/REF,DK/REF,,DK/REF,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Female,65,65+,White,,Other,CDA,Republican,Conservative,Strongly Approve,Very Often,DK/REF,DK/REF,Yes,DK/REF,Yes,Yes,Yes,Yes,DK/REF,Not at all likely,No,No,DK/REF
Female,84,65+,White,,Some college,,Democrat,Conservative,Strongly Disapprove,Very Often,No,No,DK/REF,DK/REF,DK/REF,,No,,Not at all likely,DK/REF,DK/REF,DK/REF,Worse World
Male,50,45-54,White,,Graduate degree,,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",DK/REF,DK/REF,DK/REF,Yes,No,DK/REF,,Somewhat Likely,Not at all likely,No,No,DK/REF
Female,36,35-44,White,,Some college,,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,No,No,DK/REF,,Yes,DK/REF,Somewhat Likely,Somewhat Likely,Yes,No,Better World
DK/REF,89,65+,White,,Some college,,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,No,Yes,DK/REF,DK/REF,,Yes,Yes,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF
Male,57,55-64,White,,Graduate degree,,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,No,Yes,No,Somewhat Likely,Somewhat Likely,Yes,No,Worse World
Female,70,65+,White,,Some college,,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,,No,,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,55,55-64,White,,High school or less,,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,No,Yes,No,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Male,57,55-64,White,,College degree,,Republican,Conservative,Strongly Approve,Not Very Often,No,No,Yes,No,Yes,No,Yes,No,Very Likely,Not at all likely,No,No,Better World
Male,45,45-54,Black,,High school or less,,Democrat,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,No,,No,,Very Likely,Not at all likely,Yes,No,Worse World
Male,56,55-64,White,,Other,Associate degree,Independent,Moderate,Somewhat Disapprove,Somewhat Often,No,No,Yes,No,No,,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,56,55-64,White,,High school or less,,Independent,Moderate,DK/REF,Very Often,DK/REF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Very Likely,DK/REF,Yes,Worse World
Female,51,45-54,DK/REF,,High school or less,,DK/REF,DK/REF,DK/REF,Very Often,No,DK/REF,Yes,No,No,,No,,Not at all likely,Very Likely,Yes,DK/REF,Worse World
Female,65,65+,Black,,College degree,,Independent,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,,No,,Not at all likely,Very Likely,Yes,No,Worse World
Male,56,55-64,White,,College degree,,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",No,No,Yes,No,,No,,DK/REF,DK/REF,Yes,No,DK/REF
