,gender,age,age_range,race,higher_education,political_party,ideology,trump_approval,monetary_anxiety,fairness_voting,preferential_voting,woman_president_25,universal_healthcare_25,humanity_survival_100,america_survival_100,trump_2020,trump_nuclear,america_vs_russia_50,america_vs_china_50,better_world,political_spectrum_score,likelihood_of_war,time_answered
16,Male,55,55-64,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,1,0,2018-08
17,Female,54,45-54,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
18,Male,56,55-64,Latino,College degree,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
19,Male,62,55-64,White,Graduate degree,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,DK/REF,DK/REF,Yes,Yes,DK/REF,Not at all likely,No,No,DK/REF,-1,0,2018-08
20,Female,55,55-64,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,No,No,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Better World,0,1,2018-08
21,Female,73,65+,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,No,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World,1,2,2018-08
22,Male,67,65+,White,High school or less,DK/REF,Liberal,Somewhat Disapprove,Somewhat Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,DK/REF,DK/REF,No,Worse World,1,0,2018-08
23,Male,64,55-64,White,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Somewhat Likely,DK/REF,DK/REF,DK/REF,Worse World,0,0,2018-08
24,Male,70,65+,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World,1,0,2018-08
25,Male,73,65+,Black,Graduate degree,Democrat,Conservative,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,Yes,Worse World,-1,2,2018-08
26,Female,62,55-64,DK/REF,College degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,0,0,2018-08
27,Male,86,65+,White,Some college,Democrat,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,DK/REF,Yes,Not at all likely,Somewhat Likely,No,DK/REF,Worse World,0,0,2018-08
28,Female,53,45-54,Latino,College degree,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
29,Female,71,65+,Latino,Some college,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Better World,0,1,2018-08
30,Female,72,65+,White,Some college,Independent,Moderate,Strongly Approve,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,0,0,2018-08
31,Male,65,65+,Other,Some college,Democrat,Conservative,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,Yes,Better World,-1,1,2018-08
32,Female,65,65+,White,College degree,Democrat,DK/REF,DK/REF,Not Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,DK/REF,0,2018-08
33,Female,61,55-64,White,Some college,Democrat,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",No,No,Yes,No,No,Somewhat Likely,Not at all likely,Yes,Yes,Worse World,0,2,2018-08
34,Female,54,45-54,White,College degree,DK/REF,Moderate,Somewhat Disapprove,Somewhat Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
35,Female,78,65+,White,Graduate degree,Independent,Conservative,Strongly Approve,Not Very Often,No,No,No,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,-1,0,2018-08
36,Female,29,25-34,White,College degree,Independent,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Better World,1,1,2018-08
37,Male,55,55-64,White,Graduate degree,Independent,Moderate,DK/REF,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,Yes,Better World,0,1,2018-08
38,Male,78,65+,White,Graduate degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
39,Male,27,25-34,Other,Some college,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
40,Male,55,55-64,White,College degree,Independent,Conservative,Somewhat Disapprove,Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,No,No,DK/REF,-1,0,2018-08
41,Male,27,25-34,White,College degree,Independent,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",No,DK/REF,DK/REF,Yes,Yes,DK/REF,Not at all likely,DK/REF,No,DK/REF,0,0,2018-08
42,Male,20,18-24,White,Some college,DK/REF,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World,0,0,2018-08
43,Male,35,35-44,Black,Graduate degree,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World,1,2,2018-08
44,Male,22,18-24,Asian,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,1,0,2018-08
45,Male,31,25-34,White,High school or less,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
46,Male,59,55-64,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,DK/REF,DK/REF,Worse World,0,0,2018-08
47,Male,69,65+,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,No,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
48,Female,54,45-54,White,Some college,Republican,DK/REF,DK/REF,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,DK/REF,DK/REF,0,2018-08
49,Male,62,55-64,White,Some college,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
50,Female,28,25-34,White,Some college,Republican,DK/REF,Strongly Approve,Very Often,"Yes, very confident",Yes,Yes,No,No,No,Very Likely,Not at all likely,No,No,Worse World,DK/REF,0,2018-08
51,Female,44,35-44,White,College degree,Republican,Conservative,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World,-1,0,2018-08
52,Male,60,55-64,White,Some college,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",DK/REF,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,0,0,2018-08
53,Male,53,45-54,Latino,College degree,Independent,Conservative,Strongly Approve,Very Often,No,No,DK/REF,No,Yes,Yes,Very Likely,Very Likely,No,No,Better World,-1,0,2018-08
54,Male,24,18-24,Latino,College degree,DK/REF,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
55,Female,25,25-34,Other,Some college,Independent,Moderate,Strongly Disapprove,Somewhat Often,No,Yes,No,No,No,No,Very Likely,Very Likely,Yes,Yes,Worse World,0,2,2018-08
56,Female,72,65+,White,Some college,Democrat,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,No,Yes,Not at all likely,Somewhat Likely,No,No,Better World,-1,0,2018-08
57,Female,65,65+,White,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,Yes,Not at all likely,Not at all likely,No,No,Better World,1,0,2018-08
58,Female,64,55-64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,Yes,Very Likely,Not at all likely,DK/REF,No,Worse World,-1,0,2018-08
59,Male,48,45-54,White,Some college,Independent,Conservative,Strongly Approve,Very Often,No,Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
60,Female,30,25-34,DK/REF,Graduate degree,Independent,DK/REF,DK/REF,Not Very Often,"Yes, somewhat confident",Yes,No,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,DK/REF,0,2018-08
61,Female,41,35-44,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
62,Female,66,65+,White,Some college,Independent,Conservative,Somewhat Disapprove,Not Very Often,"Yes, very confident",DK/REF,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,-1,0,2018-08
63,Female,21,18-24,Latino,College degree,Democrat,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,No,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World,0,2,2018-08
64,Female,62,55-64,Asian,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,1,0,2018-08
65,Female,19,18-24,Latino,Some college,Independent,Moderate,Neither approve nor disapprove,Not Very Often,No,Yes,No,No,Yes,No,Somewhat Likely,Not at all likely,Yes,No,Worse World,0,1,2018-08
66,Female,62,55-64,White,Some college,Republican,Moderate,Strongly Approve,Very Often,"Yes, very confident",Yes,No,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World,0,0,2018-08
67,Female,44,35-44,White,College degree,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,Yes,No,Worse World,0,1,2018-08
68,Male,23,18-24,Asian,Some college,Democrat,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,DK/REF,0,2018-08
69,Female,77,65+,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,No,No,Worse World,1,0,2018-08
70,Male,25,25-34,White,High school or less,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World,1,1,2018-08
71,Male,62,55-64,Asian,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,No,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
72,Female,27,25-34,White,Graduate degree,Democrat,Moderate,Neither approve nor disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World,0,2,2018-08
73,Female,69,65+,Latino,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Not at all likely,No,No,Worse World,1,0,2018-08
74,Male,28,25-34,Latino,Some college,Independent,DK/REF,Neither approve nor disapprove,Not Very Often,No,Yes,Yes,No,No,No,Very Likely,Somewhat Likely,DK/REF,DK/REF,Better World,DK/REF,0,2018-08
75,Male,75,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
76,Female,66,65+,White,College degree,Republican,Moderate,Strongly Approve,Not Very Often,No,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World,0,0,2018-08
77,Female,30,25-34,Latino,Some college,Independent,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",No,No,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World,DK/REF,0,2018-08
78,Male,51,45-54,White,College degree,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,0,0,2018-08
79,Female,40,35-44,White,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Not at all likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
80,Female,44,35-44,White,Some college,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World,-1,2,2018-08
81,Male,20,18-24,Latino,Some college,Democrat,Moderate,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World,0,0,2018-08
82,Female,34,25-34,Latino,Some college,Independent,Conservative,Strongly Disapprove,Not Very Often,No,Yes,Yes,No,No,No,Somewhat Likely,Very Likely,No,Yes,Worse World,-1,1,2018-08
83,Male,44,35-44,White,Some college,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,No,Yes,No,Not at all likely,Not at all likely,Yes,Yes,Worse World,0,2,2018-08
84,Female,47,45-54,Black,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,Yes,Yes,Worse World,0,2,2018-08
85,Male,52,45-54,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
86,Female,68,65+,White,College degree,Republican,Conservative,Strongly Approve,Somewhat Often,No,No,No,No,No,No,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
87,Male,47,45-54,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
88,Male,30,25-34,White,High school or less,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,Yes,Worse World,-1,1,2018-08
89,Female,72,65+,White,High school or less,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,DK/REF,Yes,Very Likely,Not at all likely,Yes,No,Worse World,0,1,2018-08
90,Female,53,45-54,Black,Some college,Democrat,Moderate,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF,0,0,2018-08
91,Female,55,55-64,Black,Some college,Democrat,Conservative,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",No,No,Yes,No,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Better World,-1,2,2018-08
92,Male,56,55-64,White,High school or less,Independent,Moderate,DK/REF,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
93,Male,59,55-64,Black,High school or less,Independent,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,0,0,2018-08
94,Female,60,55-64,Black,High school or less,Independent,Moderate,DK/REF,Very Often,DK/REF,Yes,Yes,Yes,No,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World,0,2,2018-08
95,Male,74,65+,White,High school or less,Democrat,Moderate,DK/REF,Very Often,"Yes, somewhat confident",DK/REF,No,DK/REF,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,DK/REF,0,2,2018-08
96,Female,70,65+,White,High school or less,Republican,Conservative,Strongly Approve,Somewhat Often,DK/REF,Yes,Yes,Yes,No,No,Very Likely,Somewhat Likely,Yes,Yes,Better World,-1,2,2018-08
97,Female,80,65+,White,Some college,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World,-1,0,2018-08
98,Female,80,65+,Black,High school or less,Democrat,Conservative,DK/REF,Somewhat Often,No,No,No,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Worse World,-1,1,2018-08
99,Male,53,45-54,White,College degree,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Better World,-1,2,2018-08
100,Male,38,35-44,White,Some college,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
101,Male,55,55-64,White,College degree,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
102,Female,62,55-64,White,Graduate degree,DK/REF,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
103,Female,63,55-64,White,High school or less,DK/REF,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,DK/REF,0,2018-08
104,Female,64,55-64,White,College degree,Republican,Conservative,Strongly Approve,Very Often,No,Yes,Yes,No,Yes,No,Very Likely,Somewhat Likely,Yes,Yes,Worse World,-1,2,2018-08
105,Female,60,55-64,White,High school or less,Democrat,DK/REF,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World,DK/REF,1,2018-08
106,Female,65,65+,Latino,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Not at all likely,Somewhat Likely,Yes,DK/REF,Better World,0,1,2018-08
107,Male,62,55-64,White,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,Yes,Worse World,0,2,2018-08
108,Female,70,65+,Black,High school or less,Democrat,Liberal,DK/REF,Not Very Often,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,1,0,2018-08
109,Female,65,65+,White,Other,Republican,Conservative,Strongly Approve,Very Often,DK/REF,DK/REF,Yes,DK/REF,Yes,Yes,DK/REF,Not at all likely,No,No,DK/REF,-1,0,2018-08
110,Female,84,65+,White,Some college,Democrat,Conservative,Strongly Disapprove,Very Often,No,No,DK/REF,DK/REF,DK/REF,No,Not at all likely,DK/REF,DK/REF,DK/REF,Worse World,-1,0,2018-08
111,Male,50,45-54,White,Graduate degree,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",DK/REF,DK/REF,DK/REF,Yes,DK/REF,Somewhat Likely,Not at all likely,No,No,DK/REF,-1,0,2018-08
112,Female,36,35-44,White,Some college,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,No,No,DK/REF,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Better World,0,1,2018-08
113,DK/REF,89,65+,White,Some college,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,No,Yes,DK/REF,DK/REF,Yes,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,0,2018-08
114,Male,57,55-64,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Worse World,1,1,2018-08
115,Female,70,65+,White,Some college,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Somewhat Likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
116,Female,55,55-64,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World,1,2,2018-08
117,Male,57,55-64,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,No,No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
118,Male,45,45-54,Black,High school or less,Democrat,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,No,No,Very Likely,Not at all likely,Yes,No,Worse World,-1,1,2018-08
119,Male,56,55-64,White,Other,Independent,Moderate,Somewhat Disapprove,Somewhat Often,No,No,Yes,No,No,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World,0,2,2018-08
120,Female,56,55-64,White,High school or less,Independent,Moderate,DK/REF,Very Often,DK/REF,Yes,Yes,Yes,Yes,Yes,Not at all likely,Very Likely,DK/REF,Yes,Worse World,0,1,2018-08
121,Female,51,45-54,DK/REF,High school or less,DK/REF,DK/REF,DK/REF,Very Often,No,DK/REF,Yes,No,No,No,Not at all likely,Very Likely,Yes,DK/REF,Worse World,DK/REF,1,2018-08
122,Female,65,65+,Black,College degree,Independent,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,No,Worse World,0,1,2018-08
123,Male,56,55-64,White,College degree,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",No,No,Yes,No,No,DK/REF,DK/REF,Yes,No,DK/REF,0,1,2018-08
124,Male,58,55-64,White,High school or less,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",Yes,DK/REF,Yes,Yes,Yes,DK/REF,DK/REF,No,No,Better World,0,0,2018-08
125,Male,87,65+,White,Some college,DK/REF,DK/REF,Strongly Disapprove,DK/REF,DK/REF,No,Yes,Yes,Yes,No,Not at all likely,Very Likely,No,No,Worse World,DK/REF,0,2018-08
126,Female,62,55-64,White,Some college,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,DK/REF,Yes,Very Likely,Not at all likely,DK/REF,Yes,Worse World,-1,1,2018-08
127,Female,89,65+,Other,College degree,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Yes,Yes,Yes,Yes,DK/REF,DK/REF,No,No,Worse World,DK/REF,0,2018-08
128,Female,70,65+,White,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
129,Male,49,45-54,White,College degree,Democrat,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
130,Female,52,45-54,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,No,No,No,No,No,No,Very Likely,Somewhat Likely,No,No,Worse World,-1,0,2018-08
131,Female,55,55-64,White,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,Yes,Worse World,0,1,2018-08
